state_name1,state_name2,state_name1_alpha_3,state_name2_alpha_3,y,x,yend,xend,pairs,n
Italy,Japan,ITA,JPN,42.83333333,12.83333333,36,138,Italy-Japan,5
Cuba,Haiti,CUB,HTI,21.5,-80,19,-72.41666666,Cuba-Haiti,29
Cuba,Dominican Republic,CUB,DOM,21.5,-80,19,-70.66666666,Cuba-Dominican Republic,29
Cuba,Mexico,CUB,MEX,21.5,-80,23,-102,Cuba-Mexico,29
Cuba,Guatemala,CUB,GTM,21.5,-80,15.5,-90.25,Cuba-Guatemala,29
Cuba,Honduras,CUB,HND,21.5,-80,15,-86.5,Cuba-Honduras,29
Cuba,El Salvador,CUB,SLV,21.5,-80,13.83333333,-88.91666666,Cuba-El Salvador,26
Cuba,Nicaragua,CUB,NIC,21.5,-80,13,-85,Cuba-Nicaragua,29
Cuba,Costa Rica,CUB,CRI,21.5,-80,10,-84,Cuba-Costa Rica,29
Cuba,Panama,CUB,PAN,21.5,-80,9,-80,Cuba-Panama,29
Cuba,Colombia,CUB,COL,21.5,-80,4,-72,Cuba-Colombia,29
Cuba,Ecuador,CUB,ECU,21.5,-80,-2,-77.5,Cuba-Ecuador,29
Cuba,Peru,CUB,PER,21.5,-80,-10,-76,Cuba-Peru,29
Cuba,Brazil,CUB,BRA,21.5,-80,-10,-55,Cuba-Brazil,29
Cuba,Paraguay,CUB,PRY,21.5,-80,-23,-58,Cuba-Paraguay,29
Cuba,Chile,CUB,CHL,21.5,-80,-30,-71,Cuba-Chile,29
Cuba,Argentina,CUB,ARG,21.5,-80,-34,-64,Cuba-Argentina,29
Cuba,Uruguay,CUB,URY,21.5,-80,-33,-56,Cuba-Uruguay,29
Haiti,Dominican Republic,HTI,DOM,19,-72.41666666,19,-70.66666666,Haiti-Dominican Republic,79
Haiti,Mexico,HTI,MEX,19,-72.41666666,23,-102,Haiti-Mexico,79
Haiti,Guatemala,HTI,GTM,19,-72.41666666,15.5,-90.25,Haiti-Guatemala,79
