state_name1,state_name2,state_name1_alpha_3,state_name2_alpha_3,y,x,yend,xend,pairs,n
Tunisia,Egypt,TUN,EGY,34,9,27,30,Tunisia-Egypt,97
Tunisia,Lebanon,TUN,LBN,34,9,33.83333333,35.83333333,Tunisia-Lebanon,115
Tunisia,Jordan,TUN,JOR,34,9,31,36,Tunisia-Jordan,115
Tunisia,Saudi Arabia,TUN,SAU,34,9,25,45,Tunisia-Saudi Arabia,115
Tunisia,Yemen,TUN,YEM,34,9,15,48,Tunisia-Yemen,46
Tunisia,Kuwait,TUN,KWT,34,9,29.5,45.75,Tunisia-Kuwait,101
Tunisia,Qatar,TUN,QAT,34,9,25.5,51.25,Tunisia-Qatar,84
Tunisia,United Arab Emirates,TUN,ARE,34,9,24,54,Tunisia-United Arab Emirates,101
Tunisia,Oman,TUN,OMN,34,9,21,57,Tunisia-Oman,42
Libya,Sudan,LBY,SDN,25,17,15,30,Libya-Sudan,107
Libya,Iraq,LBY,IRQ,25,17,33,44,Libya-Iraq,109
Libya,Egypt,LBY,EGY,25,17,27,30,Libya-Egypt,91
Libya,Lebanon,LBY,LBN,25,17,33.83333333,35.83333333,Libya-Lebanon,109
Libya,Jordan,LBY,JOR,25,17,31,36,Libya-Jordan,109
Libya,Saudi Arabia,LBY,SAU,25,17,25,45,Libya-Saudi Arabia,109
Libya,Yemen,LBY,YEM,25,17,15,48,Libya-Yemen,46
Libya,Kuwait,LBY,KWT,25,17,29.5,45.75,Libya-Kuwait,98
Libya,Qatar,LBY,QAT,25,17,25.5,51.25,Libya-Qatar,84
Libya,United Arab Emirates,LBY,ARE,25,17,24,54,Libya-United Arab Emirates,90
Libya,Oman,LBY,OMN,25,17,21,57,Libya-Oman,42
Sudan,Iraq,SDN,IRQ,15,30,33,44,Sudan-Iraq,107
Sudan,Egypt,SDN,EGY,15,30,27,30,Sudan-Egypt,103
Sudan,Lebanon,SDN,LBN,15,30,33.83333333,35.83333333,Sudan-Lebanon,107
Sudan,Jordan,SDN,JOR,15,30,31,36,Sudan-Jordan,107
Sudan,Saudi Arabia,SDN,SAU,15,30,25,45,Sudan-Saudi Arabia,107
Sudan,Yemen,SDN,YEM,15,30,15,48,Sudan-Yemen,46
Sudan,Kuwait,SDN,KWT,15,30,29.5,45.75,Sudan-Kuwait,98
Sudan,Qatar,SDN,QAT,15,30,25.5,51.25,Sudan-Qatar,84
Sudan,United Arab Emirates,SDN,ARE,15,30,24,54,Sudan-United Arab Emirates,90
Sudan,Oman,SDN,OMN,15,30,21,57,Sudan-Oman,42
Iraq,Egypt,IRQ,EGY,33,44,27,30,Iraq-Egypt,124
Iraq,Lebanon,IRQ,LBN,33,44,33.83333333,35.83333333,Iraq-Lebanon,129
Iraq,Jordan,IRQ,JOR,33,44,31,36,Iraq-Jordan,154
Iraq,Yemen,IRQ,YEM,33,44,15,48,Iraq-Yemen,46
Iraq,Kuwait,IRQ,KWT,33,44,29.5,45.75,Iraq-Kuwait,101
Iraq,Qatar,IRQ,QAT,33,44,25.5,51.25,Iraq-Qatar,84
Iraq,United Arab Emirates,IRQ,ARE,33,44,24,54,Iraq-United Arab Emirates,101
Iraq,Oman,IRQ,OMN,33,44,21,57,Iraq-Oman,42
Egypt,Lebanon,EGY,LBN,27,30,33.83333333,35.83333333,Egypt-Lebanon,113
Egypt,Jordan,EGY,JOR,27,30,31,36,Egypt-Jordan,130
Egypt,Saudi Arabia,EGY,SAU,27,30,25,45,Egypt-Saudi Arabia,122
Egypt,Yemen,EGY,YEM,27,30,15,48,Egypt-Yemen,46
Egypt,Kuwait,EGY,KWT,27,30,29.5,45.75,Egypt-Kuwait,83
Egypt,Qatar,EGY,QAT,27,30,25.5,51.25,Egypt-Qatar,66
Egypt,United Arab Emirates,EGY,ARE,27,30,24,54,Egypt-United Arab Emirates,83
Egypt,Oman,EGY,OMN,27,30,21,57,Egypt-Oman,33
Lebanon,Jordan,LBN,JOR,33.83333333,35.83333333,31,36,Lebanon-Jordan,129
Lebanon,Saudi Arabia,LBN,SAU,33.83333333,35.83333333,25,45,Lebanon-Saudi Arabia,131
Lebanon,Yemen,LBN,YEM,33.83333333,35.83333333,15,48,Lebanon-Yemen,46
Lebanon,Kuwait,LBN,KWT,33.83333333,35.83333333,29.5,45.75,Lebanon-Kuwait,101
Lebanon,Qatar,LBN,QAT,33.83333333,35.83333333,25.5,51.25,Lebanon-Qatar,84
Lebanon,United Arab Emirates,LBN,ARE,33.83333333,35.83333333,24,54,Lebanon-United Arab Emirates,101
Lebanon,Oman,LBN,OMN,33.83333333,35.83333333,21,57,Lebanon-Oman,42
Jordan,Saudi Arabia,JOR,SAU,31,36,25,45,Jordan-Saudi Arabia,135
Jordan,Yemen,JOR,YEM,31,36,15,48,Jordan-Yemen,46
Jordan,Kuwait,JOR,KWT,31,36,29.5,45.75,Jordan-Kuwait,101
Jordan,Qatar,JOR,QAT,31,36,25.5,51.25,Jordan-Qatar,84
Jordan,United Arab Emirates,JOR,ARE,31,36,24,54,Jordan-United Arab Emirates,101
Jordan,Oman,JOR,OMN,31,36,21,57,Jordan-Oman,42
Saudi Arabia,Yemen,SAU,YEM,25,45,15,48,Saudi Arabia-Yemen,46
Saudi Arabia,Kuwait,SAU,KWT,25,45,29.5,45.75,Saudi Arabia-Kuwait,114
Saudi Arabia,Qatar,SAU,QAT,25,45,25.5,51.25,Saudi Arabia-Qatar,97
Saudi Arabia,United Arab Emirates,SAU,ARE,25,45,24,54,Saudi Arabia-United Arab Emirates,114
Saudi Arabia,Oman,SAU,OMN,25,45,21,57,Saudi Arabia-Oman,55
Yemen,Kuwait,YEM,KWT,15,48,29.5,45.75,Yemen-Kuwait,46
Yemen,Qatar,YEM,QAT,15,48,25.5,51.25,Yemen-Qatar,46
Yemen,United Arab Emirates,YEM,ARE,15,48,24,54,Yemen-United Arab Emirates,46
Yemen,Oman,YEM,OMN,15,48,21,57,Yemen-Oman,23
Kuwait,Qatar,KWT,QAT,29.5,45.75,25.5,51.25,Kuwait-Qatar,97
Kuwait,United Arab Emirates,KWT,ARE,29.5,45.75,24,54,Kuwait-United Arab Emirates,106
Kuwait,Oman,KWT,OMN,29.5,45.75,21,57,Kuwait-Oman,55
Qatar,United Arab Emirates,QAT,ARE,25.5,51.25,24,54,Qatar-United Arab Emirates,96
Qatar,Oman,QAT,OMN,25.5,51.25,21,57,Qatar-Oman,55
United Arab Emirates,Oman,ARE,OMN,24,54,21,57,United Arab Emirates-Oman,54
United Kingdom,Jordan,GBR,JOR,54,-2,31,36,United Kingdom-Jordan,11
Canada,Bahamas,CAN,BHS,60,-95,24.25,-76,Canada-Bahamas,24
Canada,Haiti,CAN,HTI,60,-95,19,-72.41666666,Canada-Haiti,24
Canada,Dominican Republic,CAN,DOM,60,-95,19,-70.66666666,Canada-Dominican Republic,24
Canada,Jamaica,CAN,JAM,60,-95,18.25,-77.5,Canada-Jamaica,24
Canada,Trinidad and Tobago,CAN,TTO,60,-95,11,-61,Canada-Trinidad and Tobago,24
Canada,Mexico,CAN,MEX,60,-95,23,-102,Canada-Mexico,24
Canada,Belize,CAN,BLZ,60,-95,17.25,-88.75,Canada-Belize,22
Canada,Guatemala,CAN,GTM,60,-95,15.5,-90.25,Canada-Guatemala,24
Canada,Honduras,CAN,HND,60,-95,15,-86.5,Canada-Honduras,24
Canada,El Salvador,CAN,SLV,60,-95,13.83333333,-88.91666666,Canada-El Salvador,24
Canada,Nicaragua,CAN,NIC,60,-95,13,-85,Canada-Nicaragua,24
Canada,Costa Rica,CAN,CRI,60,-95,10,-84,Canada-Costa Rica,24
Canada,Panama,CAN,PAN,60,-95,9,-80,Canada-Panama,24
Canada,Colombia,CAN,COL,60,-95,4,-72,Canada-Colombia,24
Canada,Guyana,CAN,GUY,60,-95,5,-59,Canada-Guyana,22
Canada,Suriname,CAN,SUR,60,-95,4,-56,Canada-Suriname,24
Canada,Ecuador,CAN,ECU,60,-95,-2,-77.5,Canada-Ecuador,24
Canada,Peru,CAN,PER,60,-95,-10,-76,Canada-Peru,24
Canada,Brazil,CAN,BRA,60,-95,-10,-55,Canada-Brazil,24
Canada,Paraguay,CAN,PRY,60,-95,-23,-58,Canada-Paraguay,24
Canada,Chile,CAN,CHL,60,-95,-30,-71,Canada-Chile,24
Canada,Argentina,CAN,ARG,60,-95,-34,-64,Canada-Argentina,24
Canada,Uruguay,CAN,URY,60,-95,-33,-56,Canada-Uruguay,24
Bahamas,Haiti,BHS,HTI,24.25,-76,19,-72.41666666,Bahamas-Haiti,31
Bahamas,Dominican Republic,BHS,DOM,24.25,-76,19,-70.66666666,Bahamas-Dominican Republic,31
Bahamas,Jamaica,BHS,JAM,24.25,-76,18.25,-77.5,Bahamas-Jamaica,31
Bahamas,Trinidad and Tobago,BHS,TTO,24.25,-76,11,-61,Bahamas-Trinidad and Tobago,31
Bahamas,Mexico,BHS,MEX,24.25,-76,23,-102,Bahamas-Mexico,31
Bahamas,Belize,BHS,BLZ,24.25,-76,17.25,-88.75,Bahamas-Belize,22
Bahamas,Guatemala,BHS,GTM,24.25,-76,15.5,-90.25,Bahamas-Guatemala,31
Bahamas,Honduras,BHS,HND,24.25,-76,15,-86.5,Bahamas-Honduras,31
Bahamas,El Salvador,BHS,SLV,24.25,-76,13.83333333,-88.91666666,Bahamas-El Salvador,31
Bahamas,Nicaragua,BHS,NIC,24.25,-76,13,-85,Bahamas-Nicaragua,31
Bahamas,Costa Rica,BHS,CRI,24.25,-76,10,-84,Bahamas-Costa Rica,31
Bahamas,Panama,BHS,PAN,24.25,-76,9,-80,Bahamas-Panama,31
Bahamas,Colombia,BHS,COL,24.25,-76,4,-72,Bahamas-Colombia,31
Bahamas,Guyana,BHS,GUY,24.25,-76,5,-59,Bahamas-Guyana,22
Bahamas,Suriname,BHS,SUR,24.25,-76,4,-56,Bahamas-Suriname,31
Bahamas,Ecuador,BHS,ECU,24.25,-76,-2,-77.5,Bahamas-Ecuador,31
Bahamas,Peru,BHS,PER,24.25,-76,-10,-76,Bahamas-Peru,31
Bahamas,Brazil,BHS,BRA,24.25,-76,-10,-55,Bahamas-Brazil,31
Bahamas,Paraguay,BHS,PRY,24.25,-76,-23,-58,Bahamas-Paraguay,31
Bahamas,Chile,BHS,CHL,24.25,-76,-30,-71,Bahamas-Chile,31
Bahamas,Argentina,BHS,ARG,24.25,-76,-34,-64,Bahamas-Argentina,31
Bahamas,Uruguay,BHS,URY,24.25,-76,-33,-56,Bahamas-Uruguay,31
Haiti,Jamaica,HTI,JAM,19,-72.41666666,18.25,-77.5,Haiti-Jamaica,44
Haiti,Trinidad and Tobago,HTI,TTO,19,-72.41666666,11,-61,Haiti-Trinidad and Tobago,46
Haiti,Belize,HTI,BLZ,19,-72.41666666,17.25,-88.75,Haiti-Belize,22
Haiti,Guyana,HTI,GUY,19,-72.41666666,5,-59,Haiti-Guyana,22
Haiti,Suriname,HTI,SUR,19,-72.41666666,4,-56,Haiti-Suriname,36
Dominican Republic,Jamaica,DOM,JAM,19,-70.66666666,18.25,-77.5,Dominican Republic-Jamaica,44
Dominican Republic,Trinidad and Tobago,DOM,TTO,19,-70.66666666,11,-61,Dominican Republic-Trinidad and Tobago,46
Dominican Republic,Belize,DOM,BLZ,19,-70.66666666,17.25,-88.75,Dominican Republic-Belize,22
Dominican Republic,Guyana,DOM,GUY,19,-70.66666666,5,-59,Dominican Republic-Guyana,22
Dominican Republic,Suriname,DOM,SUR,19,-70.66666666,4,-56,Dominican Republic-Suriname,36
Jamaica,Trinidad and Tobago,JAM,TTO,18.25,-77.5,11,-61,Jamaica-Trinidad and Tobago,44
Jamaica,Mexico,JAM,MEX,18.25,-77.5,23,-102,Jamaica-Mexico,44
Jamaica,Belize,JAM,BLZ,18.25,-77.5,17.25,-88.75,Jamaica-Belize,22
Jamaica,Guatemala,JAM,GTM,18.25,-77.5,15.5,-90.25,Jamaica-Guatemala,44
Jamaica,Honduras,JAM,HND,18.25,-77.5,15,-86.5,Jamaica-Honduras,44
Jamaica,El Salvador,JAM,SLV,18.25,-77.5,13.83333333,-88.91666666,Jamaica-El Salvador,44
Jamaica,Nicaragua,JAM,NIC,18.25,-77.5,13,-85,Jamaica-Nicaragua,44
Jamaica,Costa Rica,JAM,CRI,18.25,-77.5,10,-84,Jamaica-Costa Rica,44
Jamaica,Panama,JAM,PAN,18.25,-77.5,9,-80,Jamaica-Panama,44
Jamaica,Colombia,JAM,COL,18.25,-77.5,4,-72,Jamaica-Colombia,44
Jamaica,Guyana,JAM,GUY,18.25,-77.5,5,-59,Jamaica-Guyana,22
Jamaica,Suriname,JAM,SUR,18.25,-77.5,4,-56,Jamaica-Suriname,36
Jamaica,Ecuador,JAM,ECU,18.25,-77.5,-2,-77.5,Jamaica-Ecuador,44
Jamaica,Peru,JAM,PER,18.25,-77.5,-10,-76,Jamaica-Peru,44
Jamaica,Brazil,JAM,BRA,18.25,-77.5,-10,-55,Jamaica-Brazil,44
Jamaica,Paraguay,JAM,PRY,18.25,-77.5,-23,-58,Jamaica-Paraguay,44
Jamaica,Chile,JAM,CHL,18.25,-77.5,-30,-71,Jamaica-Chile,44
Jamaica,Argentina,JAM,ARG,18.25,-77.5,-34,-64,Jamaica-Argentina,44
Jamaica,Uruguay,JAM,URY,18.25,-77.5,-33,-56,Jamaica-Uruguay,44
Trinidad and Tobago,Mexico,TTO,MEX,11,-61,23,-102,Trinidad and Tobago-Mexico,46
Trinidad and Tobago,Belize,TTO,BLZ,11,-61,17.25,-88.75,Trinidad and Tobago-Belize,22
Trinidad and Tobago,Guatemala,TTO,GTM,11,-61,15.5,-90.25,Trinidad and Tobago-Guatemala,46
Trinidad and Tobago,Honduras,TTO,HND,11,-61,15,-86.5,Trinidad and Tobago-Honduras,46
Trinidad and Tobago,El Salvador,TTO,SLV,11,-61,13.83333333,-88.91666666,Trinidad and Tobago-El Salvador,46
Trinidad and Tobago,Nicaragua,TTO,NIC,11,-61,13,-85,Trinidad and Tobago-Nicaragua,46
Trinidad and Tobago,Costa Rica,TTO,CRI,11,-61,10,-84,Trinidad and Tobago-Costa Rica,46
Trinidad and Tobago,Panama,TTO,PAN,11,-61,9,-80,Trinidad and Tobago-Panama,46
Trinidad and Tobago,Colombia,TTO,COL,11,-61,4,-72,Trinidad and Tobago-Colombia,46
Trinidad and Tobago,Guyana,TTO,GUY,11,-61,5,-59,Trinidad and Tobago-Guyana,22
Trinidad and Tobago,Suriname,TTO,SUR,11,-61,4,-56,Trinidad and Tobago-Suriname,36
Trinidad and Tobago,Ecuador,TTO,ECU,11,-61,-2,-77.5,Trinidad and Tobago-Ecuador,46
Trinidad and Tobago,Peru,TTO,PER,11,-61,-10,-76,Trinidad and Tobago-Peru,46
Trinidad and Tobago,Brazil,TTO,BRA,11,-61,-10,-55,Trinidad and Tobago-Brazil,46
Trinidad and Tobago,Paraguay,TTO,PRY,11,-61,-23,-58,Trinidad and Tobago-Paraguay,46
Trinidad and Tobago,Chile,TTO,CHL,11,-61,-30,-71,Trinidad and Tobago-Chile,46
Trinidad and Tobago,Argentina,TTO,ARG,11,-61,-34,-64,Trinidad and Tobago-Argentina,46
Trinidad and Tobago,Uruguay,TTO,URY,11,-61,-33,-56,Trinidad and Tobago-Uruguay,46
Mexico,Belize,MEX,BLZ,23,-102,17.25,-88.75,Mexico-Belize,22
Mexico,Guyana,MEX,GUY,23,-102,5,-59,Mexico-Guyana,22
Mexico,Suriname,MEX,SUR,23,-102,4,-56,Mexico-Suriname,36
Belize,Guatemala,BLZ,GTM,17.25,-88.75,15.5,-90.25,Belize-Guatemala,22
Belize,Honduras,BLZ,HND,17.25,-88.75,15,-86.5,Belize-Honduras,22
Belize,El Salvador,BLZ,SLV,17.25,-88.75,13.83333333,-88.91666666,Belize-El Salvador,22
Belize,Nicaragua,BLZ,NIC,17.25,-88.75,13,-85,Belize-Nicaragua,22
Belize,Costa Rica,BLZ,CRI,17.25,-88.75,10,-84,Belize-Costa Rica,22
Belize,Panama,BLZ,PAN,17.25,-88.75,9,-80,Belize-Panama,22
Belize,Colombia,BLZ,COL,17.25,-88.75,4,-72,Belize-Colombia,22
Belize,Guyana,BLZ,GUY,17.25,-88.75,5,-59,Belize-Guyana,22
Belize,Suriname,BLZ,SUR,17.25,-88.75,4,-56,Belize-Suriname,22
Belize,Ecuador,BLZ,ECU,17.25,-88.75,-2,-77.5,Belize-Ecuador,22
Belize,Peru,BLZ,PER,17.25,-88.75,-10,-76,Belize-Peru,22
Belize,Brazil,BLZ,BRA,17.25,-88.75,-10,-55,Belize-Brazil,22
Belize,Paraguay,BLZ,PRY,17.25,-88.75,-23,-58,Belize-Paraguay,22
Belize,Chile,BLZ,CHL,17.25,-88.75,-30,-71,Belize-Chile,22
Belize,Argentina,BLZ,ARG,17.25,-88.75,-34,-64,Belize-Argentina,22
Belize,Uruguay,BLZ,URY,17.25,-88.75,-33,-56,Belize-Uruguay,22
Guatemala,Guyana,GTM,GUY,15.5,-90.25,5,-59,Guatemala-Guyana,22
Guatemala,Suriname,GTM,SUR,15.5,-90.25,4,-56,Guatemala-Suriname,36
Honduras,Guyana,HND,GUY,15,-86.5,5,-59,Honduras-Guyana,22
Honduras,Suriname,HND,SUR,15,-86.5,4,-56,Honduras-Suriname,36
El Salvador,Guyana,SLV,GUY,13.83333333,-88.91666666,5,-59,El Salvador-Guyana,22
El Salvador,Suriname,SLV,SUR,13.83333333,-88.91666666,4,-56,El Salvador-Suriname,36
Nicaragua,Guyana,NIC,GUY,13,-85,5,-59,Nicaragua-Guyana,22
Nicaragua,Suriname,NIC,SUR,13,-85,4,-56,Nicaragua-Suriname,36
Costa Rica,Guyana,CRI,GUY,10,-84,5,-59,Costa Rica-Guyana,22
Costa Rica,Suriname,CRI,SUR,10,-84,4,-56,Costa Rica-Suriname,36
Panama,Guyana,PAN,GUY,9,-80,5,-59,Panama-Guyana,22
Panama,Suriname,PAN,SUR,9,-80,4,-56,Panama-Suriname,36
Colombia,Guyana,COL,GUY,4,-72,5,-59,Colombia-Guyana,22
Colombia,Suriname,COL,SUR,4,-72,4,-56,Colombia-Suriname,36
Guyana,Suriname,GUY,SUR,5,-59,4,-56,Guyana-Suriname,22
Guyana,Ecuador,GUY,ECU,5,-59,-2,-77.5,Guyana-Ecuador,22
Guyana,Peru,GUY,PER,5,-59,-10,-76,Guyana-Peru,22
Guyana,Brazil,GUY,BRA,5,-59,-10,-55,Guyana-Brazil,22
Guyana,Paraguay,GUY,PRY,5,-59,-23,-58,Guyana-Paraguay,22
Guyana,Chile,GUY,CHL,5,-59,-30,-71,Guyana-Chile,22
Guyana,Argentina,GUY,ARG,5,-59,-34,-64,Guyana-Argentina,22
Guyana,Uruguay,GUY,URY,5,-59,-33,-56,Guyana-Uruguay,22
Suriname,Ecuador,SUR,ECU,4,-56,-2,-77.5,Suriname-Ecuador,36
Suriname,Peru,SUR,PER,4,-56,-10,-76,Suriname-Peru,36
Suriname,Brazil,SUR,BRA,4,-56,-10,-55,Suriname-Brazil,36
Suriname,Paraguay,SUR,PRY,4,-56,-23,-58,Suriname-Paraguay,36
Suriname,Chile,SUR,CHL,4,-56,-30,-71,Suriname-Chile,36
Suriname,Argentina,SUR,ARG,4,-56,-34,-64,Suriname-Argentina,36
Suriname,Uruguay,SUR,URY,4,-56,-33,-56,Suriname-Uruguay,36
Albania,Bulgaria,ALB,BGR,41,20,43,25,Albania-Bulgaria,55
United Kingdom,Netherlands,GBR,NLD,54,-2,52.5,5.75,United Kingdom-Netherlands,129
United Kingdom,Luxembourg,GBR,LUX,54,-2,49.75,6.16666666,United Kingdom-Luxembourg,129
Netherlands,Belgium,NLD,BEL,52.5,5.75,50.83333333,4,Netherlands-Belgium,129
Netherlands,Luxembourg,NLD,LUX,52.5,5.75,49.75,6.16666666,Netherlands-Luxembourg,129
Netherlands,France,NLD,FRA,52.5,5.75,46,2,Netherlands-France,129
Netherlands,Portugal,NLD,PRT,52.5,5.75,39.5,-8,Netherlands-Portugal,89
Netherlands,Italy,NLD,ITA,52.5,5.75,42.83333333,12.83333333,Netherlands-Italy,123
Netherlands,Greece,NLD,GRC,52.5,5.75,39,22,Netherlands-Greece,83
Belgium,Luxembourg,BEL,LUX,50.83333333,4,49.75,6.16666666,Belgium-Luxembourg,129
Belgium,Spain,BEL,ESP,50.83333333,4,40,-4,Belgium-Spain,57
Belgium,Portugal,BEL,PRT,50.83333333,4,39.5,-8,Belgium-Portugal,89
Belgium,Greece,BEL,GRC,50.83333333,4,39,22,Belgium-Greece,83
Luxembourg,France,LUX,FRA,49.75,6.16666666,46,2,Luxembourg-France,129
Luxembourg,Spain,LUX,ESP,49.75,6.16666666,40,-4,Luxembourg-Spain,57
Luxembourg,Portugal,LUX,PRT,49.75,6.16666666,39.5,-8,Luxembourg-Portugal,89
Luxembourg,Italy,LUX,ITA,49.75,6.16666666,42.83333333,12.83333333,Luxembourg-Italy,123
Luxembourg,Greece,LUX,GRC,49.75,6.16666666,39,22,Luxembourg-Greece,83
Spain,Greece,ESP,GRC,40,-4,39,22,Spain-Greece,53
Portugal,Italy,PRT,ITA,39.5,-8,42.83333333,12.83333333,Portugal-Italy,89
Portugal,Greece,PRT,GRC,39.5,-8,39,22,Portugal-Greece,83
Poland,Bulgaria,POL,BGR,52,20,43,25,Poland-Bulgaria,77
Poland,Hungary,POL,HUN,52,20,47,20,Poland-Hungary,58
Canada,United Kingdom,CAN,GBR,60,-95,54,-2,Canada-United Kingdom,67
Canada,Netherlands,CAN,NLD,60,-95,52.5,5.75,Canada-Netherlands,64
Canada,Belgium,CAN,BEL,60,-95,50.83333333,4,Canada-Belgium,64
Canada,Luxembourg,CAN,LUX,60,-95,49.75,6.16666666,Canada-Luxembourg,64
Canada,France,CAN,FRA,60,-95,46,2,Canada-France,67
Canada,Spain,CAN,ESP,60,-95,40,-4,Canada-Spain,32
Canada,Portugal,CAN,PRT,60,-95,39.5,-8,Canada-Portugal,64
Canada,Germany,CAN,DEU,60,-95,51,9,Canada-Germany,23
Canada,Poland,CAN,POL,60,-95,52,20,Canada-Poland,17
Canada,Hungary,CAN,HUN,60,-95,47,20,Canada-Hungary,14
Canada,Italy,CAN,ITA,60,-95,42.83333333,12.83333333,Canada-Italy,64
Canada,Greece,CAN,GRC,60,-95,39,22,Canada-Greece,62
Canada,Norway,CAN,NOR,60,-95,62,10,Canada-Norway,64
Canada,Denmark,CAN,DNK,60,-95,56,10,Canada-Denmark,64
Canada,Iceland,CAN,ISL,60,-95,65,-18,Canada-Iceland,64
Canada,Turkey,CAN,TUR,60,-95,39,35,Canada-Turkey,62
United Kingdom,Hungary,GBR,HUN,54,-2,47,20,United Kingdom-Hungary,14
United Kingdom,Norway,GBR,NOR,54,-2,62,10,United Kingdom-Norway,64
United Kingdom,Denmark,GBR,DNK,54,-2,56,10,United Kingdom-Denmark,64
United Kingdom,Iceland,GBR,ISL,54,-2,65,-18,United Kingdom-Iceland,64
Netherlands,Germany,NLD,DEU,52.5,5.75,51,9,Netherlands-Germany,23
Netherlands,Poland,NLD,POL,52.5,5.75,52,20,Netherlands-Poland,14
Netherlands,Hungary,NLD,HUN,52.5,5.75,47,20,Netherlands-Hungary,14
Netherlands,Norway,NLD,NOR,52.5,5.75,62,10,Netherlands-Norway,64
Netherlands,Denmark,NLD,DNK,52.5,5.75,56,10,Netherlands-Denmark,64
Netherlands,Iceland,NLD,ISL,52.5,5.75,65,-18,Netherlands-Iceland,64
Netherlands,Turkey,NLD,TUR,52.5,5.75,39,35,Netherlands-Turkey,62
Belgium,Poland,BEL,POL,50.83333333,4,52,20,Belgium-Poland,14
Belgium,Hungary,BEL,HUN,50.83333333,4,47,20,Belgium-Hungary,14
Belgium,Norway,BEL,NOR,50.83333333,4,62,10,Belgium-Norway,64
Belgium,Denmark,BEL,DNK,50.83333333,4,56,10,Belgium-Denmark,64
Belgium,Iceland,BEL,ISL,50.83333333,4,65,-18,Belgium-Iceland,64
Belgium,Turkey,BEL,TUR,50.83333333,4,39,35,Belgium-Turkey,62
Luxembourg,Germany,LUX,DEU,49.75,6.16666666,51,9,Luxembourg-Germany,23
Luxembourg,Poland,LUX,POL,49.75,6.16666666,52,20,Luxembourg-Poland,14
Luxembourg,Hungary,LUX,HUN,49.75,6.16666666,47,20,Luxembourg-Hungary,14
Luxembourg,Norway,LUX,NOR,49.75,6.16666666,62,10,Luxembourg-Norway,64
Luxembourg,Denmark,LUX,DNK,49.75,6.16666666,56,10,Luxembourg-Denmark,64
Luxembourg,Iceland,LUX,ISL,49.75,6.16666666,65,-18,Luxembourg-Iceland,64
Luxembourg,Turkey,LUX,TUR,49.75,6.16666666,39,35,Luxembourg-Turkey,62
France,Hungary,FRA,HUN,46,2,47,20,France-Hungary,14
France,Norway,FRA,NOR,46,2,62,10,France-Norway,64
France,Denmark,FRA,DNK,46,2,56,10,France-Denmark,64
France,Iceland,FRA,ISL,46,2,65,-18,France-Iceland,64
Spain,Poland,ESP,POL,40,-4,52,20,Spain-Poland,14
Spain,Norway,ESP,NOR,40,-4,62,10,Spain-Norway,32
Spain,Denmark,ESP,DNK,40,-4,56,10,Spain-Denmark,32
Spain,Iceland,ESP,ISL,40,-4,65,-18,Spain-Iceland,32
Spain,Turkey,ESP,TUR,40,-4,39,35,Spain-Turkey,32
Portugal,Germany,PRT,DEU,39.5,-8,51,9,Portugal-Germany,23
Portugal,Poland,PRT,POL,39.5,-8,52,20,Portugal-Poland,14
Portugal,Hungary,PRT,HUN,39.5,-8,47,20,Portugal-Hungary,14
Portugal,Norway,PRT,NOR,39.5,-8,62,10,Portugal-Norway,64
Portugal,Denmark,PRT,DNK,39.5,-8,56,10,Portugal-Denmark,64
Portugal,Iceland,PRT,ISL,39.5,-8,65,-18,Portugal-Iceland,64
Portugal,Turkey,PRT,TUR,39.5,-8,39,35,Portugal-Turkey,62
Germany,Greece,DEU,GRC,51,9,39,22,Germany-Greece,23
Germany,Norway,DEU,NOR,51,9,62,10,Germany-Norway,23
Germany,Iceland,DEU,ISL,51,9,65,-18,Germany-Iceland,23
Poland,Italy,POL,ITA,52,20,42.83333333,12.83333333,Poland-Italy,14
Poland,Greece,POL,GRC,52,20,39,22,Poland-Greece,31
Poland,Norway,POL,NOR,52,20,62,10,Poland-Norway,14
Poland,Denmark,POL,DNK,52,20,56,10,Poland-Denmark,14
Poland,Iceland,POL,ISL,52,20,65,-18,Poland-Iceland,14
Poland,Turkey,POL,TUR,52,20,39,35,Poland-Turkey,14
Hungary,Greece,HUN,GRC,47,20,39,22,Hungary-Greece,14
Hungary,Norway,HUN,NOR,47,20,62,10,Hungary-Norway,14
Hungary,Denmark,HUN,DNK,47,20,56,10,Hungary-Denmark,14
Hungary,Iceland,HUN,ISL,47,20,65,-18,Hungary-Iceland,14
Italy,Norway,ITA,NOR,42.83333333,12.83333333,62,10,Italy-Norway,64
Italy,Denmark,ITA,DNK,42.83333333,12.83333333,56,10,Italy-Denmark,64
Italy,Iceland,ITA,ISL,42.83333333,12.83333333,65,-18,Italy-Iceland,64
Greece,Norway,GRC,NOR,39,22,62,10,Greece-Norway,62
Greece,Denmark,GRC,DNK,39,22,56,10,Greece-Denmark,62
Greece,Iceland,GRC,ISL,39,22,65,-18,Greece-Iceland,62
Norway,Denmark,NOR,DNK,62,10,56,10,Norway-Denmark,64
Norway,Iceland,NOR,ISL,62,10,65,-18,Norway-Iceland,64
Norway,Turkey,NOR,TUR,62,10,39,35,Norway-Turkey,62
Denmark,Iceland,DNK,ISL,56,10,65,-18,Denmark-Iceland,70
Denmark,Turkey,DNK,TUR,56,10,39,35,Denmark-Turkey,62
Iceland,Turkey,ISL,TUR,65,-18,39,35,Iceland-Turkey,62
